Date,Song,Artist,Failed Reason
9/7/1985,You Are My Lady,Freddie Jackson,No suitable video
9/7/1985,Miami Vice Theme,Jan Hammer,No suitable video
9/7/1985,And She Was,Talking Heads,No suitable video
8/31/1985,Dancing In The Street,David Bowie & Mick Jagger,No suitable video
9/7/1985,I'm Gonna Tear Your Playhouse Down,Paul Young,No suitable video
9/14/1985,Boy In The Box,Corey Hart,No suitable video
9/14/1985,One Night Love Affair,Bryan Adams,No suitable video
9/21/1985,Broken Wings,Mr. Mister,No suitable video
9/14/1985,I Miss You,Klymaxx,No suitable video
9/21/1985,Lover Come Back To Me,Dead Or Alive,No suitable video
9/21/1985,Hard Times For Lovers,Jennifer Holliday,No suitable video
9/21/1985,Eaten Alive,Diana Ross,No suitable video
9/21/1985,Born In East L.A.,Cheech & Chong,No suitable video
9/21/1985,Hurts To Be In Love,Gino Vannelli,No suitable video
9/28/1985,I'll Be Good,Rene & Angela,No suitable video
9/28/1985,Screams Of Passion,The Family,No suitable video
9/28/1985,Object Of My Desire,Starpoint,No suitable video
10/5/1985,Separate Lives,Phil Collins and Marilyn Martin,No suitable video
10/12/1985,To Live And Die In L.A.,Wang Chung,No suitable video
9/28/1985,Who's Zoomin' Who,Aretha Franklin,No suitable video
10/12/1985,You're In Love,Ratt,No suitable video
10/19/1985,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,No suitable video
9/28/1985,Like To Get To Know You Well,Howard Jones,No suitable video
10/19/1985,Alive & Kicking,Simple Minds,No suitable video
10/26/1985,Charm The Snake,Christopher Cross,No suitable video
10/19/1985,Sleeping Bag,ZZ Top,No suitable video
11/9/1985,"Say You, Say Me",Lionel Richie,No suitable video
10/26/1985,You're A Friend Of Mine,Clarence Clemons & Jackson Browne,No suitable video
10/26/1985,Emergency,Kool & The Gang,No suitable video
11/2/1985,Tonight She Comes,The Cars,No suitable video
11/16/1985,Love Grammar,John Parr,No suitable video
11/9/1985,That's What Friends Are For,Dionne & Friends,No suitable video
11/16/1985,A Love Bizarre,Sheila E.,No suitable video
10/26/1985,Home Sweet Home,Motley Crue,No suitable video
11/9/1985,Goodbye,Night Ranger,No suitable video
11/23/1985,Everything Must Change,Paul Young,No suitable video
11/23/1985,Spies Like Us,Paul McCartney,No suitable video
11/23/1985,Sex As A Weapon,Pat Benatar,No suitable video
11/23/1985,Silent Running (On Dangerous Ground),Mike + The Mechanics,No suitable video
12/7/1985,Go,Asia,No suitable video
12/14/1985,Beat's So Lonely,Charlie Sexton,No suitable video
12/7/1985,One Vision,Queen,No suitable video
11/30/1985,"When The Going Gets Tough, The Tough Get Going",Billy Ocean,No suitable video
11/30/1985,Everything In My Heart,Corey Hart,No suitable video
11/30/1985,Leader Of The Pack,Twisted Sister,No suitable video
12/7/1985,How Will I Know,Whitney Houston,No suitable video
11/30/1985,I'm Your Man,Wham!,No suitable video
12/7/1985,Caravan Of Love,"Isley, Jasper, Isley",No suitable video
12/14/1985,Somewhere,Barbra Streisand,No suitable video
1/18/1986,This Could Be The Night,Loverboy,No suitable video
12/21/1985,Own The Night,Chaka Khan,No suitable video
12/21/1985,Kyrie,Mr. Mister,No suitable video
1/11/1986,The Super Bowl Shuffle,The Chicago Bears Shufflin' Crew,No suitable video
1/18/1986,What You Need,INXS,No suitable video
1/18/1986,Stages,ZZ Top,No suitable video
2/1/1986,I'm Not The One,The Cars,No suitable video
2/1/1986,Tender Love,Force M.D.'s,No suitable video
1/25/1986,No Easy Way Out,Robert Tepper,No suitable video
2/1/1986,Needles And Pins,Tom Petty & The Heartbreakers With Stevie Nicks,No suitable video
1/18/1986,Another Night,Aretha Franklin,No suitable video
1/25/1986,Live Is Life,Opus,No suitable video
2/8/1986,No Frills Love,Jennifer Holliday,No suitable video
2/1/1986,Calling America,Electric Light Orchestra,No suitable video
2/15/1986,Le Bel Age (The Best Years),Pat Benatar,No suitable video
2/8/1986,I Like You,Phyllis Nelson,No suitable video
2/8/1986,Let Me Be The One,Five Star,No suitable video
2/15/1986,It's All Right (Baby's Coming Back),Eurythmics,No suitable video
2/15/1986,One Sunny Day (From Quicksilver),"Ray Parker,Jr. & Helen Terry",No suitable video
2/22/1986,In My Dreams,Dokken,No suitable video
3/1/1986,So Far Away,Dire Straits,No suitable video
3/1/1986,Where Are You Now?,Jimmy Harnen With Synch,No suitable video
3/1/1986,West End Girls,Pet Shop Boys,No suitable video
3/8/1986,Feel It Again,Honeymoon Suite,No suitable video
3/8/1986,Bad Boy,Miami Sound Machine,No suitable video
3/8/1986,I Can't Wait,Nu Shooz,No suitable video
3/15/1986,A Good Heart,Feargal Sharkey,No suitable video
3/8/1986,If You Leave,Orchestral Manoeuvres In The Dark,No suitable video
3/8/1986,Great Gosh A'mighty (Down & Out In Bev. Hills Theme),Little Richard,No suitable video
3/22/1986,Restless,Starpoint,No suitable video
3/22/1986,All I Need Is A Miracle,Mike + The Mechanics,No suitable video
3/15/1986,Call Me,Dennis DeYoung,No suitable video
3/29/1986,Is It Love,Mr. Mister,No suitable video
3/29/1986,Rough Boy,ZZ Top,No suitable video
3/29/1986,Greatest Love Of All,Whitney Houston,No suitable video
4/5/1986,Tomorrow Doesn't Matter Tonight,Starship,No suitable video
4/12/1986,Hands Across America,Voices Of America,No suitable video
4/5/1986,Johnny Come Home,Fine Young Cannibals,No suitable video
3/29/1986,Absolute Beginners,David Bowie,No suitable video
4/19/1986,Under The Influence,Vanity,No suitable video
4/19/1986,There'll Be Sad Songs (To Make You Cry),Billy Ocean,No suitable video
4/12/1986,Somebody Somewhere,Platinum Blonde,No suitable video
4/12/1986,No One Is To Blame,Howard Jones,No suitable video
4/12/1986,Live To Tell,Madonna,No suitable video
4/19/1986,The Love Parade,The Dream Academy,No suitable video
5/3/1986,Digging Your Scene,The Blow Monkeys,No suitable video
5/3/1986,Like No Other Night,Thirty Eight Special,No suitable video
4/26/1986,A Different Corner,George Michael,No suitable video
5/10/1986,Sledgehammer,Peter Gabriel,No suitable video
5/17/1986,We Don't Have To Take Our Clothes Off,Jermaine Stewart,No suitable video
5/10/1986,Living On Video,Trans-X,No suitable video
5/31/1986,Take It Easy,Andy Taylor,No suitable video
6/7/1986,Jungle Boy,John Eddie,No suitable video
6/7/1986,One Way Love,TKA,No suitable video
5/17/1986,Peter Gunn,The Art Of Noise Featuring Duane Eddy,No suitable video
6/14/1986,Higher Love,Steve Winwood,No suitable video
5/24/1986,Female Intuition,Mai Tai,No suitable video
6/7/1986,"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,No suitable video
6/21/1986,You Don't Have To Cry,Rene & Angela,No suitable video
6/14/1986,The Best Of Me,David Foster And Olivia Newton-John,No suitable video
6/21/1986,Baby Love,Regina,No suitable video
6/28/1986,If Anybody Had A Heart,John Waite,No suitable video
6/28/1986,Victory Line,Limited Warranty,No suitable video
6/21/1986,"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin,No suitable video
6/28/1986,Rock'N'roll To The Rescue,The Beach Boys,No suitable video
6/28/1986,This Is The Time,Dennis DeYoung,No suitable video
6/28/1986,The Captain Of Her Heart,Double,No suitable video
6/28/1986,Taken In,Mike + The Mechanics,No suitable video
7/5/1986,Point Of No Return,Nu Shooz,No suitable video
7/12/1986,"Walk Like A Man (From ""A Fine Mess"")",Mary Jane Girls,No suitable video
7/5/1986,No Promises,Icehouse,No suitable video
7/12/1986,Love Of A Lifetime,Chaka Khan,No suitable video
7/19/1986,Dancing On The Ceiling,Lionel Richie,No suitable video
7/19/1986,Somebody Like You,Thirty Eight Special,No suitable video
7/12/1986,Two Of Hearts,Stacey Q,No suitable video
7/19/1986,Money$ Too Tight (To Mention),Simply Red,No suitable video
7/26/1986,Walk This Way,Run-D.M.C.,No suitable video
7/26/1986,All Cried Out,Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou,No suitable video
8/2/1986,Stuck With You,Huey Lewis & The News,No suitable video
8/2/1986,Ruthless People,Mick Jagger,No suitable video
8/2/1986,Dreamtime,Daryl Hall,No suitable video
8/9/1986,Am I Forgiven,Isle Of Man,No suitable video
7/26/1986,Love Zone,Billy Ocean,No suitable video
8/9/1986,Private Number,The Jets,No suitable video
8/23/1986,Angel In My Pocket,One To One,No suitable video
8/16/1986,I Didn't Mean To Turn You On,Robert Palmer,No suitable video
8/23/1986,"Earth Angel (From ""The Karate Kid Part II"")",New Edition,No suitable video
8/16/1986,Walk Away Renee,Southside Johnny & The Jukes,No suitable video
8/16/1986,Playing With The Boys,Kenny Loggins,No suitable video
8/23/1986,Heartbeat,Don Johnson,No suitable video
8/30/1986,"In Your Eyes (Theme From ""Say Anything"")",Peter Gabriel,No suitable video
8/30/1986,Typical Male,Tina Turner,No suitable video
9/6/1986,Wild Wild Life,Talking Heads,No suitable video
9/6/1986,You Give Love A Bad Name,Bon Jovi,No suitable video
9/6/1986,Emotion In Motion,Ric Ocasek,No suitable video
8/30/1986,True Colors,Cyndi Lauper,No suitable video
9/13/1986,Can't Wait Another Minute,Five Star,No suitable video
9/27/1986,Jumpin' Jack Flash,Aretha Franklin,No suitable video
9/13/1986,The Rain,Oran 'Juice' Jones,No suitable video
9/20/1986,I Feel The Magic,Belinda Carlisle,No suitable video
9/20/1986,Runaway,Luis Cardenas,No suitable video
9/20/1986,The Next Time I Fall,Peter Cetera With Amy Grant,No suitable video
9/27/1986,(Forever) Live And Die,Orchestral Manoeuvres In The Dark,No suitable video
9/20/1986,I Am By Your Side,Corey Hart,No suitable video
10/4/1986,To Be A Lover,Billy Idol,No suitable video
10/4/1986,Fall On Me,R.E.M.,No suitable video
10/4/1986,Love Will Conquer All,Lionel Richie,No suitable video
10/4/1986,Everybody Have Fun Tonight,Wang Chung,No suitable video
10/11/1986,Good Music,Joan Jett & the Blackhearts,No suitable video
10/18/1986,Foolish Pride,Daryl Hall,No suitable video
10/18/1986,More Than Physical,Bananarama,No suitable video
10/25/1986,When The Rain Comes Down,Andy Taylor,No suitable video
10/18/1986,Hip To Be Square,Huey Lewis & The News,No suitable video
10/11/1986,C'est La Vie,Robbie Nevil,No suitable video
10/11/1986,Don't Get Me Wrong,Pretenders,No suitable video
10/18/1986,You Know I Love You ... Don't You?,Howard Jones,No suitable video
11/1/1986,Goldmine,The Pointer Sisters,No suitable video
10/18/1986,Shake You Down,Gregory Abbott,No suitable video
11/1/1986,Falling In Love (Uh-Oh),Miami Sound Machine,No suitable video
11/1/1986,Victory,Kool & The Gang,No suitable video
10/25/1986,Don't Stand So Close To Me '86,The Police,No suitable video
11/1/1986,Touch Me (I Want Your Body),Samantha Fox,No suitable video
10/25/1986,Love Is Forever,Billy Ocean,No suitable video
11/1/1986,Notorious,Duran Duran,No suitable video
11/8/1986,Stay The Night,Benjamin Orr,No suitable video
11/15/1986,Will You Still Love Me?,Chicago,No suitable video
11/8/1986,Love In Siberia,Laban,No suitable video
11/15/1986,Thorn In My Side,Eurythmics,No suitable video
11/15/1986,You Got It All,The Jets,No suitable video
11/15/1986,Some People,Paul Young,No suitable video
11/22/1986,Two People,Tina Turner,No suitable video
12/6/1986,Ballerina Girl,Lionel Richie,No suitable video
11/22/1986,Keep Your Hands To Yourself,The Georgia Satellites,No suitable video
12/13/1986,Dancin' In My Sleep,Secret Ties,No suitable video
11/29/1986,The Best Man In The World,Ann Wilson,No suitable video
11/29/1986,Brand New Lover,Dead Or Alive,No suitable video
12/13/1986,This Is The World Calling,Bob Geldof,No suitable video
12/13/1986,Can't Help Falling In Love,Corey Hart,No suitable video
12/13/1986,Blame It On The Radio,John Parr,No suitable video
12/27/1986,(I Know) I'm Losing You,Uptown,No suitable video
12/20/1986,(You Gotta) Fight For Your Right (To Party!),Beastie Boys,No suitable video
1/24/1987,The Honeythief,Hipsway,No suitable video
1/10/1987,Shelter,Lone Justice,No suitable video
12/27/1986,Don't Leave Me This Way,The Communards,No suitable video
1/17/1987,Jacob's Ladder,Huey Lewis & The News,No suitable video
1/24/1987,Let's Go!,Wang Chung,No suitable video
1/24/1987,All I Want,Howard Jones,No suitable video
1/17/1987,Deep River Woman,Lionel Richie,No suitable video
1/31/1987,Skin Trade,Duran Duran,No suitable video
1/31/1987,Nothing's Gonna Stop Us Now,Starship,No suitable video
1/17/1987,Don't Dream It's Over,Crowded House,No suitable video
1/24/1987,Don't Need A Gun,Billy Idol,No suitable video
2/7/1987,What You Get Is What You See,Tina Turner,No suitable video
2/7/1987,Stone Love,Kool & The Gang,No suitable video
2/7/1987,My Baby,Pretenders,No suitable video
2/14/1987,Dominoes,Robbie Nevil,No suitable video
2/21/1987,I Got The Feelin' (It's Over),Gregory Abbott,No suitable video
2/14/1987,Lean On Me,Club Nouveau,No suitable video
2/14/1987,Nothing's Gonna Change My Love For You,Glenn Medeiros,No suitable video
2/21/1987,Showing Out (Get Fresh At The Weekend),Mel & Kim,No suitable video
2/14/1987,Ship Of Fools (Save Me From Tomorrow),World Party,No suitable video
2/28/1987,So Much For Love,The Venetians,No suitable video
2/14/1987,The Lady In Red,Chris de Burgh,No suitable video
2/21/1987,I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,No suitable video
2/28/1987,Sexappeal,Georgio,No suitable video
2/28/1987,Come As You Are,Peter Wolf,No suitable video
2/28/1987,It's Tricky,Run-D.M.C.,No suitable video
2/28/1987,Never Enough,Patty Smyth,No suitable video
3/7/1987,Boy Toy,Tia,No suitable video
2/28/1987,The Right Thing,Simply Red,No suitable video
3/7/1987,Hold Me,Colin James Hay,No suitable video
3/7/1987,Looking For A New Love,Jody Watley,No suitable video
3/7/1987,Boom Boom (Let's Go Back To My Room),Paul Lekakis,No suitable video
3/14/1987,"Do Ya, Do Ya (Wanna Please Me)",Samantha Fox,No suitable video
3/28/1987,The Secret Of My Success,Night Ranger,No suitable video
3/28/1987,Se La,Lionel Richie,No suitable video
3/28/1987,Dancin' With My Mirror,Corey Hart,No suitable video
3/21/1987,Brass Monkey,Beastie Boys,No suitable video
4/11/1987,Don't Disturb This Groove,The System,No suitable video
4/11/1987,Should I See,Frozen Ghost,No suitable video
4/4/1987,I Know What I Like,Huey Lewis & The News,No suitable video
4/11/1987,Head To Toe,Lisa Lisa And Cult Jam,No suitable video
3/28/1987,Big Love,Fleetwood Mac,No suitable video
4/11/1987,Wanted Dead Or Alive,Bon Jovi,No suitable video
4/25/1987,Jammin' Me,Tom Petty And The Heartbreakers,No suitable video
4/18/1987,Black Dog,Newcity Rockers,No suitable video
4/25/1987,Dirty Water,Rock And Hyde,No suitable video
4/18/1987,Wild Horses,Gino Vannelli,No suitable video
4/25/1987,Why Can't This Night Go On Forever,Journey,No suitable video
4/25/1987,Something In My House,Dead Or Alive,No suitable video
5/16/1987,Right Next Door (Because Of Me),The Robert Cray Band,No suitable video
5/23/1987,Can't Get Started,Peter Wolf,No suitable video
5/16/1987,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,No suitable video
5/30/1987,"Girls, Girls, Girls",Motley Crue,No suitable video
5/16/1987,Flames Of Paradise,Jennifer Rush (Duet With Elton John),No suitable video
5/30/1987,Wot's It To Ya,Robbie Nevil,No suitable video
5/30/1987,Moonlighting (Theme),Al Jarreau,No suitable video
5/23/1987,Primitive Love Rites,Mondo Rock,No suitable video
6/6/1987,"Hypnotize Me (From ""Innerspace"")",Wang Chung,No suitable video
5/30/1987,Back In The High Life Again,Steve Winwood,No suitable video
6/13/1987,Want You For My Girlfriend,4 By Four,No suitable video
6/20/1987,That's Freedom,Tom Kimmel,No suitable video
6/6/1987,"I Want Your Sex (From ""Beverly Hills Cop II"")",George Michael,No suitable video
6/13/1987,I Still Haven't Found What I'm Looking For,U2,No suitable video
6/27/1987,Holiday,Kool & The Gang,No suitable video
7/4/1987,Shattered Glass,Laura Branigan,No suitable video
6/20/1987,Give To Live,Sammy Hagar,No suitable video
6/20/1987,Seven Wonders,Fleetwood Mac,No suitable video
6/6/1987,Mary's Prayer,Danny Wilson,No suitable video
7/25/1987,"Back To Paradise (From ""Revenge Of The Nerds II"")",Thirty Eight Special,No suitable video
7/18/1987,Doing It All For My Baby,Huey Lewis & The News,No suitable video
7/18/1987,"I Heard A Rumour (From ""Disorderlies"")",Bananarama,No suitable video
7/4/1987,Hearts Away,Night Ranger,No suitable video
8/1/1987,Lost In Emotion,Lisa Lisa And Cult Jam,No suitable video
7/18/1987,"Twistin' The Night Away (From ""Innerspace"")",Rod Stewart,No suitable video
8/8/1987,World Where You Live,Crowded House,No suitable video
8/1/1987,Watching Over You,Glenn Medeiros,No suitable video
8/15/1987,Heartache,Pepsi & Shirlie,No suitable video
8/15/1987,Breakout,Swing Out Sister,No suitable video
8/22/1987,Women,Def Leppard,No suitable video
8/22/1987,Into My Secret,Alisha,No suitable video
8/22/1987,Something Real (Inside Me/Inside You),Mr. Mister,No suitable video
8/22/1987,Silent Morning,Noel,No suitable video
8/29/1987,Little Lies,Fleetwood Mac,No suitable video
8/22/1987,No One In The World,Anita Baker,No suitable video
8/29/1987,You Are The Girl,The Cars,No suitable video
8/29/1987,I Don't Think That Man Should Sleep Alone,Ray Parker Jr.,No suitable video
